,DEPT,AGK,BK,DS,DT,GGKP,GK,GZ1,GZ2,GZ3,GZ4,GZ5,IK,LIT_new,MBK,MDS,MGZ,MPZ,NGK,NKT,PS,PZ,SATURAT_new,Soil_new,kp_new,well,FZ,EF_b
14508,3710.6,0.6510000229,23.090000153,NaN,259.92001343,2.4089999199,6.6069998741,8.6800003052,20.979999542,30.88999939,17.399999619,14.420000076,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.9060001373,NaN,26.63999939,0.0,NaN,13.43200016,235,2.0,2.0
14509,3710.7,0.5350000262,23.129999161,NaN,261.75,2.3980000019,7.3870000839,8.9099998474,21.569999695,31.719999313,17.620000839,14.579999924,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.8130002022,NaN,27.25,0.0,NaN,13.43200016,235,2.0,2.0
14510,3710.8,0.6370000243,23.200000763,NaN,260.83999634,2.3840000629,6.7030000687,9.0,22.13999939,32.319999695,18.620000839,15.18999958,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.3260002136,NaN,27.700000763,0.0,NaN,13.43200016,235,2.0,2.0
14511,3710.9,0.6970000267,23.649999619,NaN,257.6000061,2.4200000763,6.3029999733,9.5200004578,23.36000061,34.080001831,19.350000381,15.399999619,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.1490001678,NaN,28.069999695,0.0,NaN,13.43200016,235,2.0,2.0
14512,3711.0,0.7839999795,28.629999161,NaN,254.13000488,2.4470000267,5.7230000496,9.7700004578,24.829999924,35.229999542,21.260000229,15.649999619,NaN,2.0,NaN,NaN,NaN,NaN,NaN,6.4530000687,NaN,28.270000458,NaN,NaN,NaN,235,2.0,2.0
14513,3711.1,0.7369999886,34.119998932,NaN,252.38999939,2.4730000496,6.0399999619,10.159999847,28.690000534,37.540000916,22.430000305,16.030000687,NaN,2.0,NaN,NaN,NaN,NaN,NaN,6.2750000954,NaN,28.469999313,NaN,NaN,NaN,235,2.0,2.0
14514,3711.2,0.6719999909,36.759998322,NaN,252.58999634,2.4869999886,6.4730000496,10.569999695,29.569999695,38.75,24.770000458,16.399999619,NaN,2.0,NaN,NaN,NaN,NaN,NaN,7.0640001297,NaN,28.719999313,NaN,NaN,NaN,235,2.0,2.0
14515,3711.3,0.6869999766,32.540000916,NaN,253.61999512,2.4760000706,6.373000145,10.899999619,29.979999542,39.630001068,25.870000839,16.670000076,NaN,2.0,NaN,NaN,NaN,NaN,NaN,6.2750000954,NaN,28.680000305,NaN,NaN,NaN,235,2.0,2.0
14516,3711.4,0.7039999962,26.930000305,NaN,254.52000427,2.4719998837,6.2569999695,10.899999619,30.13999939,40.439998627,28.420000076,16.879999161,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.265999794,NaN,28.629999161,0.0,NaN,13.649000168,235,2.0,2.0
14517,3711.5,0.7590000033,26.11000061,NaN,254.94000244,2.4719998837,5.8899998665,11.010000229,30.86000061,40.549999237,29.629999161,17.180000305,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.9060001373,NaN,28.430000305,0.0,NaN,13.649000168,235,2.0,2.0
14518,3711.6,0.7689999938,25.370000839,NaN,254.66999817,2.4579999447,5.8229999542,11.340000153,31.510000229,40.819999695,30.729999542,17.299999237,NaN,1.0,NaN,NaN,NaN,NaN,NaN,5.9250001907,NaN,28.020000458,0.0,NaN,13.649000168,235,2.0,2.0
14519,3711.7,0.7269999981,24.350000381,NaN,253.69000244,2.4440000057,6.1069998741,11.340000153,32.880001068,41.430000305,33.490001678,17.229999542,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.2750000954,NaN,27.370000839,0.0,NaN,13.649000168,235,2.0,2.0
14520,3711.8,0.7070000172,26.190000534,NaN,252.4099884,2.4389998913,6.2399997711,11.430000305,33.680000305,43.770000458,34.950000763,17.229999542,NaN,1.0,NaN,NaN,NaN,NaN,NaN,7.021999836,NaN,26.930000305,0.0,NaN,13.649000168,235,2.0,2.0
14521,3711.9,0.6850000024,29.340000153,NaN,251.1499939,2.4539999962,6.3899998665,11.880000114,35.169998169,44.759998322,37.990001678,17.299999237,NaN,1.0,NaN,NaN,NaN,NaN,NaN,6.5599999428,NaN,25.879999161,0.0,NaN,13.649000168,235,2.0,2.0
